[00:24:48] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-131, y=33, z=-243} gt{x=-131, y=33, z=-245}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1073, y=27, z=-2002} gt{x=-1074, y=28, z=-2002}
[01:27:38] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1080, y=31, z=-1995} gt{x=-1079, y=31, z=-1994}
[01:27:38] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1080, y=31, z=-1995} gt{x=-1079, y=31, z=-1994}
[01:27:38] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1080, y=31, z=-1995} gt{x=-1079, y=31, z=-1994}
[01:27:38] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1080, y=31, z=-1995} gt{x=-1079, y=31, z=-1994}
[01:27:39] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1080, y=31, z=-1995} gt{x=-1079, y=31, z=-1994}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:52] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:53] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:53] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:27:53] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=37, z=-1998} gt{x=-1086, y=36, z=-1999}
[01:28:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1077, y=27, z=-2005} gt{x=-1078, y=26, z=-2005}
[01:28:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=25, z=-2008} gt{x=-1083, y=23, z=-2008}
[01:28:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=25, z=-2008} gt{x=-1083, y=23, z=-2008}
[01:28:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=25, z=-2008} gt{x=-1083, y=23, z=-2008}
[01:28:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=25, z=-2008} gt{x=-1083, y=23, z=-2008}
[01:28:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=25, z=-2008} gt{x=-1083, y=23, z=-2008}
[01:28:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=25, z=-2008} gt{x=-1083, y=23, z=-2008}
[01:29:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=30, z=-1999} gt{x=-1077, y=30, z=-2000}
[01:29:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=30, z=-1999} gt{x=-1077, y=30, z=-2000}
[01:29:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=30, z=-1999} gt{x=-1077, y=30, z=-2000}
[01:29:24] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=30, z=-1999} gt{x=-1077, y=30, z=-2000}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=44, z=-1998} gt{x=-1079, y=44, z=-1996}
[01:30:38] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1092, y=51, z=-1992} gt{x=-1092, y=51, z=-1991}
[01:31:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1096, y=63, z=-2005} gt{x=-1095, y=63, z=-2006}
[01:31:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1096, y=63, z=-2005} gt{x=-1095, y=63, z=-2006}
[01:31:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1096, y=63, z=-2005} gt{x=-1095, y=63, z=-2006}
[01:31:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1096, y=63, z=-2005} gt{x=-1095, y=63, z=-2006}
[01:31:18] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1088, y=65, z=-2010} gt{x=-1089, y=65, z=-2011}
[01:31:18] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1088, y=65, z=-2010} gt{x=-1089, y=65, z=-2011}
[01:31:18] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1088, y=65, z=-2010} gt{x=-1089, y=65, z=-2011}
[01:31:18] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1088, y=65, z=-2010} gt{x=-1089, y=65, z=-2011}
[01:31:18] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1088, y=65, z=-2010} gt{x=-1089, y=65, z=-2011}
[01:31:44] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1077, y=72, z=-2002} gt{x=-1078, y=71, z=-2001}
[01:31:44] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1077, y=72, z=-2002} gt{x=-1078, y=71, z=-2001}
[01:31:57] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1075, y=73, z=-1997} gt{x=-1075, y=73, z=-1996}
[01:32:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1074, y=76, z=-1992} gt{x=-1075, y=75, z=-1992}
[01:32:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1074, y=76, z=-1992} gt{x=-1075, y=75, z=-1992}
[01:32:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1074, y=76, z=-1992} gt{x=-1075, y=75, z=-1992}
[01:32:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1074, y=76, z=-1992} gt{x=-1075, y=75, z=-1992}
[01:32:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1074, y=76, z=-1992} gt{x=-1075, y=75, z=-1992}
[01:34:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1085, y=87, z=-2007} gt{x=-1085, y=85, z=-2007}
[01:34:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1085, y=87, z=-2007} gt{x=-1085, y=85, z=-2007}
[01:34:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1085, y=87, z=-2007} gt{x=-1085, y=85, z=-2007}
[01:34:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1085, y=87, z=-2007} gt{x=-1085, y=85, z=-2007}
[01:34:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1085, y=87, z=-2007} gt{x=-1085, y=85, z=-2007}
[01:34:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1085, y=87, z=-2007} gt{x=-1085, y=85, z=-2007}
[01:34:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1085, y=87, z=-2007} gt{x=-1085, y=85, z=-2007}
[01:34:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1085, y=87, z=-2007} gt{x=-1085, y=85, z=-2007}
[01:34:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1085, y=87, z=-2007} gt{x=-1085, y=85, z=-2007}
[01:34:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1084, y=87, z=-2008} gt{x=-1083, y=86, z=-2007}
[01:34:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1084, y=87, z=-2008} gt{x=-1083, y=86, z=-2007}
[01:34:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1084, y=87, z=-2008} gt{x=-1083, y=86, z=-2007}
[01:34:21] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=89, z=-2005} gt{x=-1077, y=88, z=-2005}
[01:34:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=89, z=-2005} gt{x=-1077, y=88, z=-2005}
[01:34:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=89, z=-2005} gt{x=-1077, y=88, z=-2005}
[01:34:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=89, z=-2005} gt{x=-1077, y=88, z=-2005}
[01:34:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=89, z=-2005} gt{x=-1077, y=88, z=-2005}
[01:35:46] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=103, z=-1996} gt{x=-1078, y=101, z=-1996}
[01:35:50] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1079, y=103, z=-1996} gt{x=-1079, y=102, z=-1997}
[01:35:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:35:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:35:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:35:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:35:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:35:58] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:35:59] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:35:59] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:35:59] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:35:59] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1076, y=105, z=-2001} gt{x=-1076, y=104, z=-2001}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:20] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:21] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:21] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:21] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1060, y=111, z=-2000} gt{x=-1061, y=110, z=-2000}
[01:36:29] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1056, y=113, z=-1996} gt{x=-1056, y=112, z=-1996}
[01:36:29] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1056, y=113, z=-1996} gt{x=-1056, y=112, z=-1996}
[01:36:29] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1056, y=113, z=-1996} gt{x=-1056, y=112, z=-1996}
[01:36:29] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1056, y=113, z=-1996} gt{x=-1056, y=112, z=-1996}
[01:36:51] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1061, y=118, z=-1983} gt{x=-1061, y=117, z=-1982}
[01:36:51] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1061, y=118, z=-1983} gt{x=-1061, y=117, z=-1982}
[01:36:51] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1061, y=118, z=-1983} gt{x=-1061, y=117, z=-1982}
[01:39:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1072, y=120, z=-1987} gt{x=-1071, y=120, z=-1988}
[01:39:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1072, y=120, z=-1987} gt{x=-1071, y=120, z=-1988}
[01:39:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1072, y=120, z=-1987} gt{x=-1071, y=120, z=-1988}
[01:39:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1072, y=120, z=-1987} gt{x=-1071, y=120, z=-1988}
[01:40:08] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1087, y=129, z=-2002} gt{x=-1086, y=129, z=-2001}
[01:40:08] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1087, y=129, z=-2002} gt{x=-1086, y=129, z=-2001}
[01:40:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1087, y=129, z=-2002} gt{x=-1086, y=129, z=-2001}
[01:40:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1087, y=129, z=-2002} gt{x=-1086, y=129, z=-2001}
[01:40:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1087, y=129, z=-2002} gt{x=-1086, y=129, z=-2001}
[01:40:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1087, y=129, z=-2002} gt{x=-1086, y=129, z=-2001}
[01:40:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1087, y=129, z=-2002} gt{x=-1086, y=129, z=-2001}
[01:40:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1087, y=129, z=-2002} gt{x=-1086, y=129, z=-2001}
[01:40:09] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1087, y=129, z=-2002} gt{x=-1086, y=129, z=-2001}
[01:40:13] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1090, y=130, z=-2003} gt{x=-1088, y=128, z=-2001}
[01:40:13] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1090, y=130, z=-2003} gt{x=-1088, y=128, z=-2001}
[01:40:13] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1090, y=130, z=-2003} gt{x=-1088, y=128, z=-2001}
[01:40:13] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1090, y=130, z=-2003} gt{x=-1088, y=128, z=-2001}
[01:40:13] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1090, y=130, z=-2003} gt{x=-1088, y=128, z=-2001}
[01:40:13] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1090, y=130, z=-2003} gt{x=-1088, y=128, z=-2001}
[01:40:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:40:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:40:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:40:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:40:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:40:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:40:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:40:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:40:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:40:31] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1086, y=131, z=-2008} gt{x=-1085, y=131, z=-2006}
[01:41:05] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=138, z=-2015} gt{x=-1078, y=138, z=-2014}
[01:41:05] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=138, z=-2015} gt{x=-1078, y=138, z=-2014}
[01:41:05] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=138, z=-2015} gt{x=-1078, y=138, z=-2014}
[01:41:05] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1078, y=138, z=-2015} gt{x=-1078, y=138, z=-2014}
[01:41:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1069, y=143, z=-2010} gt{x=-1069, y=143, z=-2009}
[01:41:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1069, y=143, z=-2010} gt{x=-1069, y=143, z=-2009}
[01:41:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1069, y=143, z=-2010} gt{x=-1069, y=143, z=-2009}
[01:41:30] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1069, y=143, z=-2010} gt{x=-1069, y=143, z=-2009}
[01:41:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1064, y=142, z=-2011} gt{x=-1065, y=141, z=-2010}
[01:41:34] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1064, y=142, z=-2011} gt{x=-1065, y=141, z=-2010}
[01:41:35] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1064, y=142, z=-2011} gt{x=-1065, y=141, z=-2010}
[01:41:35] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1064, y=142, z=-2011} gt{x=-1065, y=141, z=-2010}
[01:41:35] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1064, y=142, z=-2011} gt{x=-1065, y=141, z=-2010}
[01:41:35] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1064, y=142, z=-2011} gt{x=-1065, y=141, z=-2010}
[01:41:35] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1064, y=142, z=-2011} gt{x=-1065, y=141, z=-2010}
[01:41:35] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1064, y=142, z=-2011} gt{x=-1065, y=141, z=-2010}
[01:41:35] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1064, y=142, z=-2011} gt{x=-1065, y=141, z=-2010}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
